Scientific_names
Acalypha diversifolia
Ossaea macrophylla
Ossaea micrantha
Otoba gordoniifolia
Otoba novogranatensis
Palicourea acanthacea
Palicourea amethystina
Palicourea andrei
Palicourea apicata
Palicourea demissa
Palicourea guianensis
Palicourea chimboracensis
Palicourea palenquensis
Palicourea pyramidalis
Palicourea sodiroi
Panopsis megistosperma
Pentagonia macrophylla
Persea pseudofasciculata
Persea rigens
Pholidostachys dactyloides
Phytelephas aequatorialis
Piper aequale
Piper barbatum
Piper carpunya
Piper obliquum
Piper crassinervium
Piper hylophilum
Piper imperiale
Piper nubigenum
Pittoniotis rotata
Pleurothyrium giganthum
Pleurothyrium glabritepalum
Posoqueria chocoana
Poulsenia armata
Pourouma bicolor subsp. scobina
Prestoea acuminata
Prestoea decurrens
Protium ecuadorense
Prunus huantensis
Pseudolmedia gentryi
Psychotria brachiata
Psychotria hazenii
Psychotria montivaga
Rauvolfia leptophylla
Rhodostemonodaphne cyclops
Rhodostemonodaphne kunthiana
Richeria dressleri
Roupala montana
Ruagea glabra
Ruagea pubescens
Ruagea tomentosa
Salacia cordata
Sapium glandulosum
Sapium laurifolium
Sapium marmieri
Sapium stylare
Saurauia brachybotrys
Saurauia bullosa
Saurauia herthae
Saurauia prainiana
Saurauia pseudostrigillosa
Saurauia tomentosa
Schefflera sodiroi
Sessea crassivenosa
Sessea vestita
Simarouba amara
Siparuna aspera
Siparuna multiflora
Siparuna echinata
Siparuna lepidota
Siparuna pilosolepidota
Sloanea medusula
Socratea rostrata
Solanum cucullatum
Solanum hypaleurotrichum
Solanum lepidotum
Sorocea jaramilloi
Sorocea trophoides
Sphaeropteris quindiuensis
Spirotheca awadendron
Stylogyne ardisioides
Styrax cordatus
Styrax heterotrichus
Symplocos fimbriata
Symplocos fuliginosa
Symplocos quitensis
Symplocos subandina
Tabernaemontana markgrafiana
Tapirira rubrinervis
Tetrorchidium andinum
Tetrorchidium euryphyllum
Theobroma gileri
Tournefortia fuliginosa
Tovomita croatii
Tovomita weddelliana
Trema integerrima
Trichilia pallida
Trichilia primogenita
Trichospermum galeottii
Triplaris cumingiana
Turpinia occidentalis
Urera caracasana
Vallea stipularis
Varronia cylindristachya
Verbesina arborea
Verbesina brachypoda
Verbesina latisquama
Verbesina lloensis
Vernonanthura patens
Viburnum pichinchense
Viburnum triphyllum
Virola elongata
Virola reidii
Virola sebifera
Vismia lateriflora
Weinmannia auriculata
Weinmannia balbisiana
Weinmannia glomerata
Weinmannia lentiscifolia
Weinmannia pinnata
Wettinia oxycarpa
Wettinia quinaria
Xanthosoma sagittifolium
Zanthoxylum bonifazieae
Zanthoxylum quinduense
Zanthoxylum verrucosum
Zanthoxylum formiciferum
Brosimum utile
Ficus americana
Inga nobilis
Pourouma bicolor
Aegiphila lopez-palacii
Bactris gasipaes
Conostegia centronioides
Hedyosmum goudotianum
