Placa,Pais,Plot,Site,Provincia,Nro_Plot,Altitud_plot,Latitud_plot,Longitud_plot,Family,Genus,Species,Scientific_name,POM,IND3,DAP3,HT3,Code3,BA3,Year3,code notes names
2791.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Symplocaceae,Symplocos,quitensis,Symplocos quitensis,1.3,1,10.1,6.783765277,,0.008011847,2019,ID_spp
2791.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Symplocaceae,Symplocos,quitensis,Symplocos quitensis,1.3,1,5.9,3.387658249,,0.002733971,2019,ID_spp
2792.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,cumbalense,Hedyosmum cumbalense,1.5,1,19.4,13.32951539,,0.029559245,2019,ID_spp
2792.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,cumbalense,Hedyosmum cumbalense,1.5,0,,,K,0,2019,ID_spp
2793.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,1.3,1,7.2,4.422146407,,0.004071504,2019,ID_spp
2793.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,1.3,1,12.3,8.530817125,,0.011882289,2019,ID_spp
2794,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Cyatheaceae,Cyathea,1inECPI_VERD_01,Cyathea 1inECPI_VERD_01,1.3,1,17.3,12.07278492,,0.023506182,2019,Genus id number plot
2795,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Symplocaceae,Symplocos,quitensis,Symplocos quitensis,1.3,1,7.4,4.583927524,,0.00430084,2019,ID_spp
2796,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,luteynii,Hedyosmum luteynii,1.3,1,8.3,5.316510134,,0.005410608,2019,ID_spp
2797.1,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,luteynii,Hedyosmum luteynii,1.3,1,31.2,17.84877919,,0.076453799,2019,ID_spp
2797.2,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Chloranthaceae,Hedyosmum,luteynii,Hedyosmum luteynii,1.3,1,22.1,14.73015333,,0.038359632,2019,ID_spp
2798,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,17.9,12.4467453,,0.025164943,2019,ID_spp
2799,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.65,1,16.3,11.42356079,,0.020867244,2019,ID_spp
2800,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Rosaceae,Prunus,huantensis,Prunus huantensis,1.65,1,10.4,7.026204725,,0.008494867,2019,ID_spp
2801,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Adoxaceae,Viburnum,pichinchense,Viburnum pichinchense,1.4,1,5.5,3.077844699,,0.002375829,2019,ID_spp
2802,Ecuador,ECPI_VERD_01,Verdecocha,Pichincha,14,3421,-0.123337,-78.595824,Primulaceae,Geissanthus,andinus,Geissanthus andinus,1.3,1,6.3,3.702060083,,0.003117245,2019,ID_spp
