Scientific_names
Acalypha cf. diversifolia
Acalypha diversifolia
Guettarda 1inECPI_INTI_02
Guettarda sanblasensis
Gustavia cf.johnclarkii
Handroanthus chrysanthus
Haydenoxylon gentryi
Hedyosmum anisodorum
Hedyosmum cuatrecazanum
Hedyosmum cumbalense
Hedyosmum goudotianum var. goudotianum
Hedyosmum luteynii
Hedyosmum scaberrimum
Hedyosmum scabrum
Heisteria asplundii
Heisteria pacifica
Helicostylis tovarensis
Heliocarpus americanus
Henriettea verrucosa
Hieronyma 1inECPI_RIBR_01
Hieronyma asperifolia
Hieronyma duquei
Hieronyma macrocarpa
Hieronyma oblonga
Hippotis scarlatina
Hirtella mutisii
Huertea glandulosa
Idiopappus saloyensis
Ilex andicola
Ilex pernervata
Indeterminada 10inECPI_CEDR_01
Indeterminada 11inECPI_INTI_02
Indeterminada 13inECPI_INTI_02
Indeterminada 14inECPI_INTI_02
Indeterminada 15inECPI_INTI_02
Indeterminada 16inECPI_INTI_02
Indeterminada 17inECPI_INTI_02
Indeterminada 18inECPI_INTI_02
Indeterminada 19inECPI_INTI_02
Indeterminada 1inECPI_BECL_03
Indeterminada 1inECPI_VERD_02
Indeterminada 20inECPI_INTI_02
Indeterminada 2inECPI_CEDR_01
Indeterminada 2inECPI_INTI_02
Indeterminada 2inECPI_MALO_01
Indeterminada 2inECPI_RIBR_01
Indeterminada 2inECPI_VERD_02
Indeterminada 3inECPI_BECL_03
Indeterminada 3inECPI_CEDR_01
Indeterminada 3inECPI_INTI_02
Indeterminada 3inECPI_MALO_01
Indeterminada 3inECPI_RIBR_01
Indeterminada 4inECPI_CEDR_01
Indeterminada 4inECPI_MALO_01
Indeterminada 4inECPI_MAPI_02
Indeterminada 5inECPI_CEDR_01
Indeterminada 5inECPI_MALO_01
Indeterminada 5inECPI_MALO_02
Indeterminada 5inECPI_MAPI_01
Indeterminada 5inECPI_RIBR_01
Indeterminada 6inECPI_CEDR_01
Indeterminada 6inECPI_MALO_02
Indeterminada 7inECPI_CEDR_01
Indeterminada 8inECPI_CEDR_01
Indeterminada 9inECPI_CEDR_01
Indeterminada Indeterminada
Indeterminada sp. 1
Inga 1inECPI_INTI_02
Inga 1inECPI_MALO_01
Inga 1inECPI_MALO_02
Inga 1inECPI_MAPI_01
Inga 1inECPI_MAPI_02
Inga 1inECPI_MIND_01
Inga 1inECPI_RIBR_01
Inga 2inECPI_MALO_01
Inga 2inECPI_MALO_02
Inga 2inECPI_MAPI_01
Inga 2inECPI_MAPI_02
Inga 2inECPI_MIND_01
Inga 3inECPI_MALO_01
Inga 3inECPI_MAPI_02
Inga 3inECPI_MIND_01
Inga 4inECPI_MAPI_02
Inga 4inECPI_MIND_01
Inga 5inECPI_MALO_02
Inga 5inECPI_MIND_01
Inga acreana
Inga aff.laurina
Inga alatocarpa
Inga carinata
Inga cf.acrocephala
Inga cf.acuminata
Inga cf.lallensis
Inga cf.ruiziana
Inga cf.silanchensis
Inga chartacea
Inga cinnamomea
Inga coruscans
Inga densiflora
Inga fendleriana
Inga glomeriflora
Inga lallensis
Inga laurina
Inga leiocalycina
Inga multicaulis
Inga nobilis subsp. quaternata
Inga pruriens
Inga punctata
Inga silanchensis
Inga spectabilis
Iochroma calycinum
Iriartea deltoidea
Jacaratia chocoensis
Juglans neotropica
Licania durifolia
Licania megalophylla
Licaria applanata
Lozanella enantiophylla
Lozania cf.mutisiana
Macrolobium 1inECPI_MALO_01
Magnolia mashpi
Matisia aff.castano
Matisia castano
Matisia giacomettoi
Matisia grandifolia
Maytenus macrocarpa
Meliosma 1inECPI_VERD_03
Meliosma arenosa
Meliosma cf.occidentalis
Meliosma echeverryana
Meliosma frondosa
Meliosma occidentalis
Meliosma peytonii
Meliosma sp. 1
Meliosma vasquezii
Meliosma violacea
Meriania maxima
Meriania pichinchensis
Meriania tomentosa
Miconia 1inECPI_MALO_01
Miconia 1inECPI_MAPI_01
Miconia 1inECPI_MAPI_02
Miconia 1inECPI_MIND_01
Miconia 2inECPI_MALO_01
Miconia aff.brevitheca
Miconia brachycalyx
Miconia bracteolata
Miconia brevitheca
Miconia cf.clathrantha
Miconia cf.gracilis
Miconia cf.papillosa
Miconia cf.punctata
Miconia cf.theaezans
Miconia clathrantha
Miconia corymbiformis
Miconia dapsiliflora
Miconia explicita
Miconia goniostigma
Miconia latifolia
Miconia ochracea
Miconia rivetii
Miconia sp. 1
Miconia theaezans
Monnina cf.obovata
Monnina pseudopilosa
Morus insignis
Myrcia 1inECPI_CEDR_01
Myrcia cf.neesiana
Myrcia cf.splendens
Myrcia fallax
Myrcia splendens
Myrcianthes hallii
Myrcianthes orthostemon
Myrcianthes rhopaloides
Myriocarpa stipitata
Myrsine andina
Myrsine coriacea
NN
Naucleopsis capirensis
Naucleopsis chiguila
Naucleopsis naga
Nectandra 1inECPI_RIBR_01
Nectandra 2inECPI_RIBR_01
Nectandra acutifolia
