"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"85","Senecio polygonoides","1","84220","Senecio polygonoides","1","species","","","","Muschl.","Asteraceae","Senecio","Senecio","1","polygonoides","polygonoides","1","","","","","","","","","","","","http://www.tropicos.org/Name/2735066","","Y","Synonym","Senecio hochstetteri","Senecio hochstetteri","Sch. Bip. ex A. Rich.","76910","species","http://www.tropicos.org/Name/2727586","","Asteraceae","1","1","tropicos","",true,88
"86","Senecio simulans","1","85663","Senecio simulans","1","species","","","","Chiov.","Asteraceae","Senecio","Senecio","1","simulans","simulans","1","","","","","","","","","","","","http://www.tropicos.org/Name/2736533","","Y","Synonym","Solanecio cydoniifolius","Solanecio cydoniifolius","(O. Hoffm.) C. Jeffrey","66745","species","http://www.tropicos.org/Name/2716984","","Asteraceae","1","1","tropicos","",true,90
"87","Genipa williamsii","1","481968","Genipa williamsii","1","species","","","","Standl.","Rubiaceae","Genipa","Genipa","1","williamsii","williamsii","1","","","","","","","","","","","","http://www.tropicos.org/Name/27903243","","Y","Synonym","Agouticarpa williamsii","Agouticarpa williamsii","(Standl.) C.H. Perss.","914285","species","http://www.tropicos.org/Name/50235939","","Rubiaceae","1","1","tropicos","",true,92
"88","Cinnamomum formicarium","1","754271","Cinnamomum formicarium","1","species","","","","van der Werff & Lorea-Hern.","Lauraceae","Cinnamomum","Cinnamomum","1","formicarium","formicarium","1","","","","","","","","","","","","http://www.tropicos.org/Name/50071290","","Y","Synonym","Aiouea formicaria","Aiouea formicaria","(van der Werff & Lorea-Hern.) R. Rohde","1315219","species","http://www.tropicos.org/Name/100469877","","Lauraceae","1","1","tropicos","",true,93
"89","Cinnamomum palaciosii","1","283551","Cinnamomum palaciosii","1","species","","","","van der Werff","Lauraceae","Cinnamomum","Cinnamomum","1","palaciosii","palaciosii","1","","","","","","","","","","","","http://www.tropicos.org/Name/17805582","","Y","Synonym","Aiouea palaciosii","Aiouea palaciosii","(van der Werff) R. Rohde","1315203","species","http://www.tropicos.org/Name/100469861","","Lauraceae","1","1","tropicos","",true,94
"90","Alchornea acroneura","1","175282","Alchornea acroneura","1","species","","","","Pax & K. Hoffm.","Euphorbiaceae","Alchornea","Alchornea","1","acroneura","acroneura","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802442","","Y","Accepted","Alchornea acroneura","Alchornea acroneura","Pax & K. Hoffm.","175282","species","http://www.tropicos.org/Name/12802442","","Euphorbiaceae","1","1","tropicos","",true,95
"91","Alchornea brevistyla","1","173576","Alchornea brevistyla","1","species","","","","Pax & K. Hoffm.","Euphorbiaceae","Alchornea","Alchornea","1","brevistyla","brevistyla","1","","","","","","","","","","","","http://www.tropicos.org/Name/12800684","","Y","Accepted","Alchornea brevistyla","Alchornea brevistyla","Pax & K. Hoffm.","173576","species","http://www.tropicos.org/Name/12800684","","Euphorbiaceae","1","1","tropicos","",true,96
"92","Alchornea glandulosa var. parvifolia","1","918233","Alchornea glandulosa var. parvifolia","1","variety","","","","Benth.","Euphorbiaceae","Alchornea","Alchornea","1","glandulosa","glandulosa","1","","","","var.","parvifolia","1","","","","","","http://www.tropicos.org/Name/50239961","","Y","Synonym","Alchornea triplinervia","Alchornea triplinervia","(Spreng.) MÃ¼ll. Arg.","173592","species","http://www.tropicos.org/Name/12800700","","Euphorbiaceae","1","1","tropicos","",true,97
"93","Alchornea intermedia","1","918234","Alchornea intermedia","1","species","","","","Klotzsch ex Benth.","Euphorbiaceae","Alchornea","Alchornea","1","intermedia","intermedia","1","","","","","","","","","","","","http://www.tropicos.org/Name/50239962","","Y","No opinion","","","","","","","","","1","1","tropicos","",true,98
"94","Alchornea janeirensis","1","816057","Alchornea janeirensis","1","species","","","","Casar.","Euphorbiaceae","Alchornea","Alchornea","1","janeirensis","janeirensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/50134739","","Y","Synonym","Alchornea triplinervia","Alchornea triplinervia","(Spreng.) MÃ¼ll. Arg.","173592","species","http://www.tropicos.org/Name/12800700","","Euphorbiaceae","1","1","tropicos","",true,99
"95","Alchornea nemoralis","1","175443","Alchornea nemoralis","1","species","","","","Mart.","Euphorbiaceae","Alchornea","Alchornea","1","nemoralis","nemoralis","1","","","","","","","","","","","","http://www.tropicos.org/Name/12802623","","Y","Synonym","Alchornea triplinervia","Alchornea triplinervia","(Spreng.) MÃ¼ll. Arg.","173592","species","http://www.tropicos.org/Name/12800700","","Euphorbiaceae","1","1","tropicos","",true,100
"96","Alchornea nemoralis var. intermedia","1","918229","Alchornea nemoralis var. intermedia","1","variety","","","","Baill.","Euphorbiaceae","Alchornea","Alchornea","1","nemoralis","nemoralis","1","","","","var.","intermedia","1","","","","","","http://www.tropicos.org/Name/50239957","","Y","Synonym","Alchornea triplinervia","Alchornea triplinervia","(Spreng.) MÃ¼ll. Arg.","173592","species","http://www.tropicos.org/Name/12800700","","Euphorbiaceae","1","1","tropicos","",true,101
"97","Alchornea nemoralis var. lanceolata","1","918239","Alchornea nemoralis var. lanceolata","1","variety","","","","Baill.","Euphorbiaceae","Alchornea","Alchornea","1","nemoralis","nemoralis","1","","","","var.","lanceolata","1","","","","","","http://www.tropicos.org/Name/50239967","","Y","Synonym","Alchornea triplinervia","Alchornea triplinervia","(Spreng.) MÃ¼ll. Arg.","173592","species","http://www.tropicos.org/Name/12800700","","Euphorbiaceae","1","1","tropicos","",true,103
"98","Alchornea nemoralis var. parvifolia","1","918228","Alchornea nemoralis var. parvifolia","1","variety","","","","Baill.","Euphorbiaceae","Alchornea","Alchornea","1","nemoralis","nemoralis","1","","","","var.","parvifolia","1","","","","","","http://www.tropicos.org/Name/50239956","","Y","No opinion","","","","","","","","","1","1","tropicos","",true,104
