usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,note
2894793,Guettarda sanblasensis Dwyer,Guettarda sanblasensis,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Guettarda,Guettarda sanblasensis,6,7707728.0,220.0,412.0,8798.0,2894616.0,2894793.0,False,Magnoliopsida,,
9193451,Gustavia johnclarkii S.A.Mori & Cornejo,Gustavia johnclarkii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Ericales,Lecythidaceae,Gustavia,Gustavia johnclarkii,6,7707728.0,220.0,1353.0,3990.0,3082580.0,9193451.0,False,Magnoliopsida,,
6401337,Handroanthus chrysanthus (Jacq.) S.O.Grose,Handroanthus chrysanthus,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Lamiales,Bignoniaceae,Handroanthus,Handroanthus chrysanthus,6,7707728.0,220.0,408.0,6655.0,6401269.0,6401337.0,False,Magnoliopsida,,
8135895,Haydenoxylon gentryi (Lundell) M.P.Simmons,Haydenoxylon gentryi,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Celastrales,Celastraceae,Haydenoxylon,Haydenoxylon gentryi,6,7707728.0,220.0,950.0,6715.0,7754677.0,8135895.0,False,Magnoliopsida,,
3750602,Hedyosmum anisodorum Todzia,Hedyosmum anisodorum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum anisodorum,6,7707728.0,220.0,7226589.0,6679.0,3086513.0,3750602.0,False,Magnoliopsida,,
3750493,Hedyosmum cuatrecazanum Occhioni,Hedyosmum cuatrecazanum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum cuatrecazanum,6,7707728.0,220.0,7226589.0,6679.0,3086513.0,3750493.0,False,Magnoliopsida,,
3750448,Hedyosmum cumbalense H.Karst.,Hedyosmum cumbalense,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum cumbalense,6,7707728.0,220.0,7226589.0,6679.0,3086513.0,3750448.0,False,Magnoliopsida,,
7339053,Hedyosmum goudotianum var. goudotianum,Hedyosmum goudotianum goudotianum,VARIETY,SYNONYM,100,EXACT,Plantae,Tracheophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum goudotianum,6,7707728.0,220.0,7226589.0,6679.0,3086513.0,7339052.0,True,Magnoliopsida,7339052.0,
3750574,Hedyosmum luteynii Todzia,Hedyosmum luteynii,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum luteynii,6,7707728.0,220.0,7226589.0,6679.0,3086513.0,3750574.0,False,Magnoliopsida,,
3750465,Hedyosmum scaberrimum Standl.,Hedyosmum scaberrimum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum scaberrimum,6,7707728.0,220.0,7226589.0,6679.0,3086513.0,3750465.0,False,Magnoliopsida,,
7339054,Hedyosmum scabrum (Ruiz & Pav.) Solms,Hedyosmum scabrum,SPECIES,ACCEPTED,100,EXACT,Plantae,Tracheophyta,Chloranthales,Chloranthaceae,Hedyosmum,Hedyosmum scabrum,6,7707728.0,220.0,7226589.0,6679.0,3086513.0,7339054.0,False,Magnoliopsida,,
