Scientific_names,Original_names
Cephaelis gentryi,Palicourea palenquensis
Psychotria gentryi,Palicourea palenquensis
Palicourea gibbosa,Palicourea pyramidalis
Pentagonia cuatrecasasii,Pentagonia macrophylla
Pentagonia donnell-smithii,Pentagonia macrophylla
Pentagonia orthoneura,Pentagonia macrophylla
Pentagonia pubescens,Pentagonia macrophylla
Pentagonia sprucei,Pentagonia macrophylla
Pentagonia veraguensis,Pentagonia macrophylla
Watsonamra donnell-smithii,Pentagonia macrophylla
Watsonamra macrophylla,Pentagonia macrophylla
Watsonamra pubescens,Pentagonia macrophylla
Calyptrogyne dactyloides,Pholidostachys dactyloides
Palandra aequatorialis,Phytelephas aequatorialis
Artanthe aequalis,Piper aequale
Artanthe caripensis,Piper aequale
Piper aequale var. ellipticolanceolatum,Piper aequale
Piper aequale var. substenocarpum,Piper aequale
Piper amphioxys,Piper aequale
Piper asymmetricum,Piper aequale
Piper atrichopus,Piper aequale
Piper cabagranum,Piper aequale
Piper caeruleifolium,Piper aequale
Piper caledonianum,Piper aequale
Piper caripense,Piper aequale
Piper catacryptum,Piper aequale
Piper cheyennense,Piper aequale
Piper chiriquinum,Piper aequale
Piper coarctatum,Piper aequale
Piper colemanense,Piper aequale
Piper concinnifolium,Piper aequale
Piper concinnum var. trinitense,Piper aequale
Piper costaricense,Piper aequale
Piper crispans,Piper aequale
Piper donnell-smithii,Piper aequale
Piper dunlapii,Piper aequale
Piper eldoradense,Piper aequale
Piper ellipticolanceolatum,Piper aequale
Piper epilosipes,Piper aequale
Piper epilosipes var. heterophyllum,Piper aequale
Piper frioense,Piper aequale
Piper funckii,Piper aequale
Piper heptaneurum,Piper aequale
Piper ibaguense,Piper aequale
Piper incisicuspe,Piper aequale
Piper jericoense,Piper aequale
Piper johnstonii,Piper aequale
Piper micranthera,Piper aequale
Piper mombachanum,Piper aequale
Piper oppressum,Piper aequale
Piper pablense,Piper aequale
Piper paso-anchoense,Piper aequale
Piper percome,Piper aequale
Piper perlasense,Piper aequale
Piper playablancanum,Piper aequale
Piper rubripes,Piper aequale
Piper seductum,Piper aequale
Piper subdurum,Piper aequale
Piper substenocarpum,Piper aequale
Piper tacamahaca,Piper aequale
Piper tenuispicum,Piper aequale
Piper zedijodi,Piper aequale
Piper zediogodiense,Piper aequale
Schilleria aequalis,Piper aequale
Artanthe alpina,Piper barbatum
Artanthe barbata,Piper barbatum
Piper alpinum,Piper barbatum
Piper andicolum,Piper barbatum
Piper atrorameum,Piper barbatum
Piper barbatum var. andicolum,Piper barbatum
Piper barbatum var. isernii,Piper barbatum
Piper bogotense,Piper barbatum
Piper jamesoni,Piper barbatum
Piper oblitum,Piper barbatum
Schilleria barbata,Piper barbatum
Carpunya lessertiana,Piper carpunya
Carpunya peruviana,Piper carpunya
Ottonia carpunya,Piper carpunya
Ottonia lessertiana,Piper carpunya
Piper cocherense,Piper carpunya
Piper lenticellosum,Piper carpunya
Piper lessertianum,Piper carpunya
Piper subdurum,Piper carpunya
Schilleria carpunya,Piper carpunya
Artanthe flagellaris,Piper obliquum
Artanthe magnifica,Piper obliquum
Artanthe superba,Piper obliquum
Piper aristeguietae,Piper obliquum
Piper caracasanum,Piper obliquum
Piper flagellare,Piper obliquum
Piper oparumaense,Piper obliquum
Piper ruizianum,Piper obliquum
Piper saramaccanum,Piper obliquum
Piper submelanostictum var. amelanostictum,Piper obliquum
Piper submelanostictum var. submelanostictum,Piper obliquum
Piper tardans,Piper obliquum
Steffensia obliqua,Piper obliquum
Artanthe enckeoides,Piper crassinervium
Artanthe exserens,Piper crassinervium
Peltobryon exserens,Piper crassinervium
Piper annulatum,Piper crassinervium
Piper crassamentum,Piper crassinervium
Piper crassinervium var. tocotanum,Piper crassinervium
Piper dumetorum,Piper crassinervium
Piper escasuense,Piper crassinervium
Piper exserens,Piper crassinervium
Piper exserens var. mirafloresanum,Piper crassinervium
Piper novae-helvetiae,Piper crassinervium
Piper papyraceum,Piper crassinervium
Piper pilirameum,Piper crassinervium
Piper pilirameum var. subglabrum,Piper crassinervium
Piper propinquum var. brevistylum,Piper crassinervium
Piper propinquum var. grande,Piper crassinervium
Piper propinquum var. propinquum,Piper crassinervium
Piper pseudopropinquum,Piper crassinervium
Piper rufescens,Piper crassinervium
Piper sanluisense,Piper crassinervium
Piper submultiplinerve,Piper crassinervium
Steffensia crassinervia,Piper crassinervium
Artanthe imperialis,Piper imperiale
Piper affectans,Piper imperiale
Piper aserrianum,Piper imperiale
Piper cincinnatum,Piper imperiale
Piper clavuligerum,Piper imperiale
Piper escuadranum,Piper imperiale
Piper evasum,Piper imperiale
Piper frijolesanum var. grandifolium,Piper imperiale
Piper gigas,Piper imperiale
Piper guayasanum,Piper imperiale
Piper irrasum,Piper imperiale
Piper magnilimbum,Piper imperiale
Piper miramarense,Piper imperiale
Piper obovatilimbum,Piper imperiale
Piper palmanum,Piper imperiale
Piper pernodulosum,Piper imperiale
Piper portobellense,Piper imperiale
Piper umbraculum,Piper imperiale
Piper miersinum var. balsapambae,Piper nubigenum
Piper miersinum var. magnifolium,Piper nubigenum
Steffensia nubigena,Piper nubigenum
Coussapoa rekoi,Poulsenia armata
Inophloeum armatum,Poulsenia armata
Olmedia armata,Poulsenia armata
Poulsenia aculeata,Poulsenia armata
Acrista monticola,Prestoea acuminata
Aiphanes praga,Prestoea acuminata
Euterpe acuminata,Prestoea acuminata
Euterpe andicola,Prestoea acuminata
Euterpe andina,Prestoea acuminata
Euterpe antioquensis,Prestoea acuminata
Euterpe aphanolepis,Prestoea acuminata
Euterpe brevivaginata,Prestoea acuminata
Euterpe chaunostachys,Prestoea acuminata
Euterpe dasystachys,Prestoea acuminata
Euterpe frigida,Prestoea acuminata
Euterpe globosa,Prestoea acuminata
Euterpe haenkeana,Prestoea acuminata
Euterpe manaele,Prestoea acuminata
Euterpe megalochlamys,Prestoea acuminata
Euterpe microspadix,Prestoea acuminata
Euterpe montana,Prestoea acuminata
Euterpe oocarpa,Prestoea acuminata
Euterpe pertenuis,Prestoea acuminata
Euterpe praga,Prestoea acuminata
Euterpe purpurea,Prestoea acuminata
Euterpe tobagonis,Prestoea acuminata
Euterpe trichoclada,Prestoea acuminata
Euterpe zephyria,Prestoea acuminata
Oenocarpus calaber,Prestoea acuminata
Oenocarpus caracasanus,Prestoea acuminata
Oenocarpus frigidus,Prestoea acuminata
Oenocarpus glaucus,Prestoea acuminata
Oenocarpus utilis,Prestoea acuminata
Oreodoxa acuminata,Prestoea acuminata
Oreodoxa frigida,Prestoea acuminata
Oreodoxa manaele,Prestoea acuminata
Prestoea allenii,Prestoea acuminata
Prestoea dasystachys,Prestoea acuminata
Prestoea gregalis,Prestoea acuminata
Prestoea megalochlamys,Prestoea acuminata
Prestoea montana,Prestoea acuminata
Prestoea sabana,Prestoea acuminata
Prestoea trichoclada,Prestoea acuminata
Euterpe decurrens,Prestoea decurrens
Prunus rugosa,Prunus huantensis
Cephaelis polycephala,Psychotria brachiata
Palicourea brachiata,Psychotria brachiata
Palicourea caerulea,Psychotria brachiata
Psychotria caerulea,Psychotria brachiata
Cephaelis chlorochlamys,Psychotria hazenii
Psychotria davidsei,Psychotria hazenii
Psychotria ramonensis,Psychotria hazenii
Psychotria recordiana,Psychotria hazenii
Acrodiclidium kunthianum,Rhodostemonodaphne kunthiana
Aydendron aciphyllum,Rhodostemonodaphne kunthiana
Nectandra kunthiana,Rhodostemonodaphne kunthiana
Nectandra meyeriana,Rhodostemonodaphne kunthiana
Ocotea cooperi,Rhodostemonodaphne kunthiana
Ocotea kunthiana,Rhodostemonodaphne kunthiana
Pleurothyrium chrysophyllum,Rhodostemonodaphne kunthiana
Pleurothyrium cowanianum,Rhodostemonodaphne kunthiana
Rhopala boissieriana,Roupala montana
Rhopala complicata,Roupala montana
Rhopala dentata,Roupala montana
Rhopala gardneri,Roupala montana
Rhopala macropoda,Roupala montana
Rhopala martii,Roupala montana
Rhopala martii var. simplicifolia,Roupala montana
Rhopala media,Roupala montana
Rhopala ovalis,Roupala montana
Rhopala veraguensis,Roupala montana
Roupala arvensis,Roupala montana
Roupala boissieriana,Roupala montana
Roupala borealis,Roupala montana
Roupala complicata,Roupala montana
Roupala darienensis,Roupala montana
Roupala dentata,Roupala montana
Roupala discolor,Roupala montana
Roupala dissimilis,Roupala montana
Roupala frondosa,Roupala montana
Roupala gardneri,Roupala montana
Roupala gardneri var. integrifolia,Roupala montana
Roupala macropoda,Roupala montana
Roupala martii,Roupala montana
Roupala martii var. pinnata,Roupala montana
Roupala martii var. simplicifolia,Roupala montana
Roupala mayana,Roupala montana
Roupala media,Roupala montana
Roupala montana var. complicata,Roupala montana
Roupala montana var. dentata,Roupala montana
Roupala montana var. tomentosa,Roupala montana
Roupala mucronulata,Roupala montana
Roupala ovalis,Roupala montana
Roupala panamensis,Roupala montana
Roupala pyrifolia,Roupala montana
Roupala raimondii,Roupala montana
Roupala repanda,Roupala montana
Roupala steyermarkii,Roupala montana
Cabralea weberbaueri,Ruagea glabra
Guarea jelskiana,Ruagea glabra
Guarea trianae,Ruagea glabra
Guarea weberbaueri,Ruagea glabra
Ruagea augusti,Ruagea glabra
Ruagea floribunda,Ruagea glabra
Ruagea jelskiana,Ruagea glabra
Ruagea weberbaueri,Ruagea glabra
Guarea mollicoma,Ruagea pubescens
Guarea ruagea,Ruagea pubescens
Ruagea mollicoma,Ruagea pubescens
Salacia acreana,Salacia cordata
Salacia megistophylla,Salacia cordata
Salacia spectabilis,Salacia cordata
Thermophila cordata,Salacia cordata
Excoecaria aerea,Sapium glandulosum
Excoecaria biglandulosa,Sapium glandulosum
Excoecaria biglandulosa fo. oblongata,Sapium glandulosum
Excoecaria biglandulosa fo. obovata,Sapium glandulosum
Excoecaria biglandulosa var. aubletianum,Sapium glandulosum
Excoecaria biglandulosa var. aucuparia,Sapium glandulosum
Excoecaria biglandulosa var. clausseniana,Sapium glandulosum
Excoecaria biglandulosa var. cuneata,Sapium glandulosum
Excoecaria biglandulosa var. dracunculoides,Sapium glandulosum
Excoecaria biglandulosa var. glandulata,Sapium glandulosum
Excoecaria biglandulosa var. grandifolia,Sapium glandulosum
Excoecaria biglandulosa var. hamata,Sapium glandulosum
Excoecaria biglandulosa var. intercedens,Sapium glandulosum
Excoecaria biglandulosa var. klotzschiana,Sapium glandulosum
Excoecaria biglandulosa var. lanceolata,Sapium glandulosum
Excoecaria biglandulosa var. leptadenia,Sapium glandulosum
Excoecaria biglandulosa var. montevidensis,Sapium glandulosum
Excoecaria biglandulosa var. moritziana,Sapium glandulosum
Excoecaria biglandulosa var. pavoniana,Sapium glandulosum
Excoecaria biglandulosa var. petiolaris,Sapium glandulosum
Excoecaria biglandulosa var. prunifolia,Sapium glandulosum
Excoecaria biglandulosa var. salicifolia,Sapium glandulosum
Excoecaria biglandulosa var. serrata,Sapium glandulosum
Excoecaria marginata fo. major,Sapium glandulosum
Excoecaria marginata,Sapium glandulosum
Excoecaria marginata var. conjungens,Sapium glandulosum
Excoecaria marginata var. grandifolia,Sapium glandulosum
Excoecaria marginata var. lanceolata,Sapium glandulosum
Excoecaria marginata var. longifolia,Sapium glandulosum
Excoecaria marginata var. spathulata,Sapium glandulosum
Excoecaria obtusiloba,Sapium glandulosum
Excoecaria occidentalis,Sapium glandulosum
Excoecaria suberosa,Sapium glandulosum
Hippomane aucuparia,Sapium glandulosum
Hippomane biglandulosa,Sapium glandulosum
Hippomane glandulosa,Sapium glandulosum
Hippomane zeoca,Sapium glandulosum
Omphalea glandulata,Sapium glandulosum
Sapium aereum,Sapium glandulosum
Sapium alainianum,Sapium glandulosum
Sapium albomarginatum,Sapium glandulosum
Sapium aubletianum,Sapium glandulosum
Sapium aucuparium,Sapium glandulosum
Sapium aucuparium var. hippomane,Sapium glandulosum
Sapium aucuparium,Sapium glandulosum
Sapium aureum,Sapium glandulosum
Sapium biglandulosum fo. minus,Sapium glandulosum
Sapium biglandulosum fo. oblongatum,Sapium glandulosum
Sapium biglandulosum fo. obovatum,Sapium glandulosum
Sapium biglandulosum,Sapium glandulosum
Sapium biglandulosum var. aubletianum,Sapium glandulosum
Sapium biglandulosum var. aucuparium,Sapium glandulosum
Sapium biglandulosum var. hamatum,Sapium glandulosum
Sapium biglandulosum var. klotzschianum,Sapium glandulosum
Sapium biglandulosum var. lanceolatum,Sapium glandulosum
Sapium biglandulosum var. meyerianum,Sapium glandulosum
Sapium biglandulosum var. moritzianum,Sapium glandulosum
Sapium biglandulosum var. oligoneurum,Sapium glandulosum
Sapium biglandulosum var. pavonianum,Sapium glandulosum
Sapium biglandulosum var. serratum,Sapium glandulosum
Sapium biglandulosum var. sulciferum,Sapium glandulosum
Sapium bogotense,Sapium glandulosum
Sapium caribaeum,Sapium glandulosum
Sapium caudatum,Sapium glandulosum
Sapium claussenianum,Sapium glandulosum
Sapium contortum,Sapium glandulosum
Sapium cremostachyum,Sapium glandulosum
Sapium endlicherianum,Sapium glandulosum
Sapium fendleri,Sapium glandulosum
Sapium fragile,Sapium glandulosum
Sapium giganteum,Sapium glandulosum
Sapium glandulatum,Sapium glandulosum
Sapium guaricense,Sapium glandulosum
Sapium haematospermum var. saltensis,Sapium glandulosum
Sapium hamatum,Sapium glandulosum
Sapium hemsleyanum,Sapium glandulosum
Sapium hippomane,Sapium glandulosum
Sapium integrifolium,Sapium glandulosum
Sapium intercedens,Sapium glandulosum
Sapium itzanum,Sapium glandulosum
Sapium ixiamasense,Sapium glandulosum
Sapium izabalense,Sapium glandulosum
Sapium jamaicense,Sapium glandulosum
Sapium klotzschianum,Sapium glandulosum
Sapium klotzschianum var. glaziovii,Sapium glandulosum
Sapium lanceolatum,Sapium glandulosum
Sapium leptadenium,Sapium glandulosum
Sapium marginatum,Sapium glandulosum
Sapium marginatum fo. majus,Sapium glandulosum
Sapium marginatum var. conjungens,Sapium glandulosum
Sapium marginatum var. grandifolium,Sapium glandulosum
Sapium marginatum var. lanceolatum,Sapium glandulosum
Sapium marginatum var. longifolium,Sapium glandulosum
Sapium marginatum var. spathulatum,Sapium glandulosum
Sapium moaense,Sapium glandulosum
Sapium montevidense,Sapium glandulosum
Sapium moritzianum,Sapium glandulosum
Sapium muelleri,Sapium glandulosum
Sapium naiguatense,Sapium glandulosum
Sapium nitidum,Sapium glandulosum
Sapium obtusatum,Sapium glandulosum
Sapium obtusilobum,Sapium glandulosum
Sapium occidentale,Sapium glandulosum
Sapium oligoneurum,Sapium glandulosum
Sapium paranaense,Sapium glandulosum
Sapium paucistamineum,Sapium glandulosum
Sapium pavonianum,Sapium glandulosum
Sapium petiolare,Sapium glandulosum
Sapium pittieri,Sapium glandulosum
Sapium poeppigii,Sapium glandulosum
Sapium pohlianum,Sapium glandulosum
Sapium prunifolium,Sapium glandulosum
Sapium punctatum,Sapium glandulosum
Sapium pycnostachys,Sapium glandulosum
Sapium salicifolium,Sapium glandulosum
Sapium saltense,Sapium glandulosum
Sapium schippii,Sapium glandulosum
Sapium serratum,Sapium glandulosum
Sapium suberosum,Sapium glandulosum
Sapium submarginatum,Sapium glandulosum
Sapium subserratum,Sapium glandulosum
Sapium sulciferum,Sapium glandulosum
Sapium taburu,Sapium glandulosum
Sapium tenellum,Sapium glandulosum
Stillingia aucuparia,Sapium glandulosum
Stillingia dracunculoides,Sapium glandulosum
Stillingia glandulosa,Sapium glandulosum
Stillingia haematantha,Sapium glandulosum
Stillingia hippomane,Sapium glandulosum
Stillingia marginata,Sapium glandulosum
Stillingia prunifolia,Sapium glandulosum
Sapium anadenum,Sapium laurifolium
Sapium brownei,Sapium laurifolium
Sapium decipiens,Sapium laurifolium
Sapium eglandulosum,Sapium laurifolium
Sapium jamaicense,Sapium laurifolium
Sapium pleiostachys,Sapium laurifolium
Sapium utile,Sapium laurifolium
Stillingia laurifolia,Sapium laurifolium
Pera elliptica,Sapium marmieri
Sapium peloto,Sapium marmieri
Sapium solisii,Sapium stylare
Sapium verum,Sapium stylare
Saurauia brachybotrys var. macrantha,Saurauia brachybotrys
Saurauia brachybotrys var. scabra,Saurauia brachybotrys
Saurauia goudotiana,Saurauia brachybotrys
Saurauia peduncularis var. veraniana,Saurauia brachybotrys
Saurauia garcia-barrigae,Saurauia bullosa
Saurauia hypomalla,Saurauia bullosa
Saurauia leoi,Saurauia bullosa
Saurauia mojandensis,Saurauia bullosa
Saurauia pseudoexcelsa,Saurauia bullosa
Saurauia roseotincta,Saurauia bullosa
Saurauia spragueana,Saurauia bullosa
Saurauia consimilis,Saurauia prainiana
Saurauia pastasana,Saurauia prainiana
Saurauia sydowii,Saurauia prainiana
Saurauia floribunda,Saurauia pseudostrigillosa
Cestrum vestitum,Sessea vestita
Quassia simaruba,Simarouba amara
Simarouba amara var. opaca,Simarouba amara
Simarouba amara var. typica,Simarouba amara
Simarouba glauca,Simarouba amara
Simarouba opaca,Simarouba amara
Zwingera amara,Simarouba amara
Citrosma aspera,Siparuna aspera
Citrosma dentata,Siparuna aspera
Citrosma limoniodora,Siparuna aspera
Citrosma macrophylla,Siparuna aspera
Citrosma pyricarpa,Siparuna aspera
Siparuna amplifolia,Siparuna aspera
Siparuna calocarpa,Siparuna aspera
Siparuna colocarpa,Siparuna aspera
Siparuna ecuadorica,Siparuna aspera
Siparuna elliptica,Siparuna aspera
Siparuna exsculpta,Siparuna aspera
Siparuna gigantophylla,Siparuna aspera
Siparuna harongifolia,Siparuna aspera
Siparuna limoniodora,Siparuna aspera
Siparuna macrophylla,Siparuna aspera
Siparuna podocarpa,Siparuna aspera
Siparuna pyricarpa,Siparuna aspera
Siparuna quadrangularis,Siparuna aspera
Siparuna rimbachii,Siparuna aspera
Siparuna spectabilis,Siparuna aspera
Siparuna tabacifolia,Siparuna aspera
Siparuna tulasnei,Siparuna aspera
Citrosma apicifera,Siparuna echinata
Citrosma buddleiifolia,Siparuna echinata
Citrosma echinata,Siparuna echinata
Siparuna apicifera,Siparuna echinata
Siparuna apicifera var. acutissima,Siparuna echinata
Siparuna buddleiifolia,Siparuna echinata
Siparuna holtonii,Siparuna echinata
Siparuna killipii,Siparuna echinata
Siparuna olivaceo-velutina,Siparuna echinata
Siparuna phaneroneura,Siparuna echinata
Siparuna valenzuelae,Siparuna echinata
Citrosma goudotiana,Siparuna lepidota
Citrosma lepidota,Siparuna lepidota
Siparuna goudotiana,Siparuna lepidota
Siparuna rugosa,Siparuna pilosolepidota
Siparuna verrucosa,Siparuna pilosolepidota
Sloanea ampla,Sloanea medusula
Sloanea hyptoides,Sloanea medusula
Sloanea palmana,Sloanea medusula
Sloanea platyphylla,Sloanea medusula
Metasocratea hecatonandra,Socratea rostrata
Socratea hecatonandra,Socratea rostrata
Socratea montana,Socratea rostrata
Sorocea martineziana,Sorocea trophoides
Sorocea rhodorachis,Sorocea trophoides
Sorocea trophoides subsp. rhodorachis,Sorocea trophoides
Cyathea bonapartii,Sphaeropteris quindiuensis
Cyathea crassipes,Sphaeropteris quindiuensis
Cyathea quindiuensis,Sphaeropteris quindiuensis
Cyathea yungensis,Sphaeropteris quindiuensis
Ardisia cauliflora,Stylogyne ardisioides
Ardisia decipiens,Stylogyne ardisioides
Cybianthus glaucus,Stylogyne ardisioides
Icacorea laterifolia,Stylogyne ardisioides
Myrsine ardisioides,Stylogyne ardisioides
Rapanea pallens,Stylogyne ardisioides
Stylogyne amplifolia,Stylogyne ardisioides
Stylogyne cauliflora,Stylogyne ardisioides
Stylogyne gentryi,Stylogyne ardisioides
Tinus ardisiodes,Stylogyne ardisioides
Tinus cauliflora,Stylogyne ardisioides
Foveolaria cordata,Styrax cordatus
Foveolaria ovata,Styrax cordatus
Strigilia cordata,Styrax cordatus
Styrax andinus,Styrax cordatus
Styrax argyrophyllus,Styrax cordatus
Styrax mathewsii,Styrax cordatus
Styrax ovatus,Styrax cordatus
Styrax pseudargyrophyllus,Styrax cordatus
Styrax vidalianus,Styrax cordatus
Styrax weberbaueri,Styrax cordatus
Tremanthus cordata,Styrax cordatus
Symplocos boliviana,Symplocos quitensis
Symplocos flavescens,Symplocos quitensis
Bonafousia longituba,Tabernaemontana markgrafiana
Tetrorchidium gorgonae,Tetrorchidium andinum
Tournefortia rugosa,Tournefortia fuliginosa
Tovomitopsis croatii,Tovomita croatii
Clusia oblanceolata,Tovomita weddelliana
Clusia pithecobia,Tovomita weddelliana
Tovomita angustata,Tovomita weddelliana
Tovomita coriacea,Tovomita weddelliana
Tovomita glossophylla,Tovomita weddelliana
Tovomita lanceolata,Tovomita weddelliana
Tovomita lingulata,Tovomita weddelliana
Tovomita longicuneata,Tovomita weddelliana
Tovomita rhizophoroides,Tovomita weddelliana
Tovomita sphenophylla,Tovomita weddelliana
Sponia integerrima,Trema integerrima
Trema laxiflora,Trema integerrima
Guarea obtusifolia,Trichilia pallida
Hedwigia simplicifolia,Trichilia pallida
Pholacilia diversifolia,Trichilia pallida
Pholacilia trinitensis,Trichilia pallida
Portesia diversifolia,Trichilia pallida
Portesia echinocarpa,Trichilia pallida
Portesia montana,Trichilia pallida
Portesia ovata,Trichilia pallida
Portesia symplicifolia,Trichilia pallida
Portesia trinitensis,Trichilia pallida
Trichilia brachystachya,Trichilia pallida
Trichilia brasiensis,Trichilia pallida
Trichilia davisii,Trichilia pallida
Trichilia diversifolia,Trichilia pallida
Trichilia echinocarpa,Trichilia pallida
Trichilia excelsa,Trichilia pallida
Trichilia flava,Trichilia pallida
Trichilia gigantophylla,Trichilia pallida
Trichilia goudotiana,Trichilia pallida
Trichilia laminensis,Trichilia pallida
Trichilia lobulata,Trichilia pallida
Trichilia macrophylla,Trichilia pallida
Trichilia mollis,Trichilia pallida
Trichilia montana,Trichilia pallida
Trichilia montana var. acutivalis,Trichilia pallida
Trichilia montana var. fendleriana,Trichilia pallida
Trichilia pauciflora,Trichilia pallida
Trichilia peruviana,Trichilia pallida
Trichilia portoricensis,Trichilia pallida
Trichilia riedelii,Trichilia pallida
Trichilia simplicifolia,Trichilia pallida
Trichilia skutchii,Trichilia pallida
Trichilia skutchii,Trichilia pallida
Trichilia subsimplex,Trichilia pallida
Trichilia trinitensis,Trichilia pallida
Trichilia triphylla,Trichilia pallida
Trichilia truncata,Trichilia pallida
Trichilia weddellii,Trichilia pallida
Trichilia weddellii var. parvifolia,Trichilia pallida
Trichilia weddellii var. stylosa,Trichilia pallida
Trixis lorentzii,Trichilia pallida
Belotia australis,Trichospermum galeottii
Belotia colombiana,Trichospermum galeottii
Belotia galeottii,Trichospermum galeottii
Belotia grandifolia,Trichospermum galeottii
Belotia macrantha,Trichospermum galeottii
Belotia mexicana,Trichospermum galeottii
Belotia occidentalis,Trichospermum galeottii
Belotia panamensis,Trichospermum galeottii
Belotia reticulata,Trichospermum galeottii
Grewia mexicana,Trichospermum galeottii
Trichospermum australis,Trichospermum galeottii
Trichospermum colombianum,Trichospermum galeottii
Trichospermum grandifolium,Trichospermum galeottii
Trichospermum macranthum,Trichospermum galeottii
Trichospermum mexicanum,Trichospermum galeottii
Trichospermum occidentalis,Trichospermum galeottii
Trichospermum reticulatum,Trichospermum galeottii
Triplaris arnottiana,Triplaris cumingiana
Triplaris auriculata,Triplaris cumingiana
Triplaris guayaquilensis,Triplaris cumingiana
Triplaris lindeniana,Triplaris cumingiana
Lacepedea paniculata,Turpinia occidentalis
Lacepedea pinnata,Turpinia occidentalis
Staphylea heterophylla,Turpinia occidentalis
Staphylea occidentalis,Turpinia occidentalis
Turpinia heterophylla,Turpinia occidentalis
Turpinia multijuga,Turpinia occidentalis
Turpinia paniculata,Turpinia occidentalis
Turpinia pinnata,Turpinia occidentalis
Turpinia schiedeana,Turpinia occidentalis
Urera acuminata,Urera caracasana
Urera alceifolia,Urera caracasana
Urera alceifolia,Urera caracasana
Urera capitata var. pavonii,Urera caracasana
Urera capitata,Urera caracasana
Urera caracasana var. miquelii,Urera caracasana
Urera caracasana var. mitis,Urera caracasana
Urera caracasana var. subpeltata,Urera caracasana
Urera caracasana var. tomentosa,Urera caracasana
Urera corallina,Urera caracasana
Urera jacquinii var. miquelii,Urera caracasana
Urera jacquinii var. subpeltata,Urera caracasana
Urera jacquinii var. ulmifolia,Urera caracasana
Urera jacquinii,Urera caracasana
Urera mitis,Urera caracasana
Urera subpeltata,Urera caracasana
Urera subpeltata var. morifolia,Urera caracasana
Urtica alceifolia,Urera caracasana
Urtica caracasana,Urera caracasana
Urtica corallina,Urera caracasana
Urtica mitis,Urera caracasana
Urtica tiliifolia,Urera caracasana
Urtica ulmifolia,Urera caracasana
Urtica verrucosa,Urera caracasana
Vallea cernua,Vallea stipularis
Vallea cordifolia,Vallea stipularis
Vallea glabra,Vallea stipularis
Vallea macrophylla,Vallea stipularis
Vallea ovata,Vallea stipularis
Vallea pubescens,Vallea stipularis
Vallea pyrifolia,Vallea stipularis
Vallea schlimii,Vallea stipularis
Cordia caracasana,Varronia cylindristachya
Cordia caracasana var. velutina,Varronia cylindristachya
Cordia cylindristachya,Varronia cylindristachya
Cordia floribunda,Varronia cylindristachya
Cordia humboldtii,Varronia cylindristachya
Cordia lanata,Varronia cylindristachya
Cordia salvifolia,Varronia cylindristachya
Cordia subserrata,Varronia cylindristachya
Cordia tarmensis,Varronia cylindristachya
Varronia floribunda,Varronia cylindristachya
Chaenocephalus arboreus,Verbesina arborea
Cacalia aschenborniana,Vernonanthura patens
Cacalia baccharoides,Vernonanthura patens
Cacalia deppeana,Vernonanthura patens
Cacalia haenkeana,Vernonanthura patens
Cacalia lanceolaris,Vernonanthura patens
Cacalia patens,Vernonanthura patens
Cacalia stellaris,Vernonanthura patens
Conyza tomentosa,Vernonanthura patens
Vernonanthura deppeana,Vernonanthura patens
Vernonanthura yurimaguasensis,Vernonanthura patens
Vernonia albifila,Vernonanthura patens
Vernonia aschenborniana,Vernonanthura patens
Vernonia baccharoides,Vernonanthura patens
Vernonia bangii,Vernonanthura patens
Vernonia deppeana,Vernonanthura patens
Vernonia haenkeana,Vernonanthura patens
Vernonia lanceolaris,Vernonanthura patens
Vernonia mattogrossensis,Vernonanthura patens
Vernonia micradenia,Vernonanthura patens
Vernonia monsonensis,Vernonanthura patens
Vernonia pacchensis,Vernonanthura patens
Vernonia pacchensis var. tambillensis,Vernonanthura patens
Vernonia patens,Vernonanthura patens
Vernonia salamana,Vernonanthura patens
Vernonia stellaris,Vernonanthura patens
Vernonia stuebelii,Vernonanthura patens
Vernonia vargasii,Vernonanthura patens
Vernonia viarum,Vernonanthura patens
Vernonia weberbaueri,Vernonanthura patens
Vernonia yurimaguasensis,Vernonanthura patens
Oreinotinus pichinchensis,Viburnum pichinchense
Oreinotinus laurifolius,Viburnum triphyllum
Oreinotinus triphyllus,Viburnum triphyllum
Viburnum triphyllum fo. lanceolatum,Viburnum triphyllum
Viburnum triphyllum fo. microphyllum,Viburnum triphyllum
Virola elongata var. punctata,Virola elongata
Virola theiodra,Virola elongata
Knema sebifera,Virola sebifera
Myristica cordifolia,Virola sebifera
Myristica fulva,Virola sebifera
Myristica mocoa,Virola sebifera
Myristica panamensis,Virola sebifera
Myristica sebifera,Virola sebifera
Myristica sebifera var. cordifolia,Virola sebifera
Myristica sebifera var. curvinervia,Virola sebifera
Myristica virola,Virola sebifera
Palala mocoa,Virola sebifera
Palala panamensis,Virola sebifera
Palala sebifera,Virola sebifera
Virola boliviensis,Virola sebifera
Virola mocoa,Virola sebifera
Virola mycetis,Virola sebifera
Virola panamensis,Virola sebifera
Virola peruviana var. tomentosa,Virola sebifera
Virola sebifera var. curvinervia,Virola sebifera
Virola venezuelensis,Virola sebifera
Virola warburgii,Virola sebifera
Weinmannia caucana,Weinmannia auriculata
Weinmannia dryadifolia,Weinmannia auriculata
Weinmannia nebularum,Weinmannia auriculata
Weinmannia ovata,Weinmannia auriculata
