Scientific_names,Number_of_synonyms,,
Salacia cordata,4,281,
Sapium glandulosum,131,,
Sapium laurifolium,8,,
Sapium marmieri,2,,
Sapium stylare,2,,
Saurauia brachybotrys,4,,
Saurauia bullosa,7,,
Saurauia herthae,0,,
Saurauia prainiana,3,,
Saurauia pseudostrigillosa,1,,
Saurauia tomentosa,0,,
Schefflera sodiroi,0,,
Sessea crassivenosa,0,,
Sessea vestita,1,,
Simarouba amara,6,,
Siparuna aspera,22,,
Siparuna multiflora,0,,
Siparuna echinata,11,,
Siparuna lepidota,3,,
Siparuna pilosolepidota,2,,
Sloanea medusula,4,,
Socratea rostrata,3,,
Solanum cucullatum,0,,
Solanum hypaleurotrichum,0,,
Solanum lepidotum,0,,
Sorocea jaramilloi,0,,
Sorocea trophoides,3,,
Sphaeropteris quindiuensis,4,,
Spirotheca awadendron,0,,
Stylogyne ardisioides,11,,
Styrax cordatus,11,,
Styrax heterotrichus,0,,
Symplocos fimbriata,0,,
Symplocos fuliginosa,0,,
Symplocos quitensis,2,,
Symplocos subandina,0,,
Tabernaemontana markgrafiana,1,,
Tapirira rubrinervis,0,,
Tetrorchidium andinum,1,,
Tetrorchidium euryphyllum,0,,
Theobroma gileri,0,,
Tournefortia fuliginosa,1,,
Tovomita croatii,1,,
Tovomita weddelliana,10,,
Trema integerrima,2,,
Trichilia pallida,41,298,17
Trichilia primogenita,0,,
Trichospermum galeottii,17,,
Triplaris cumingiana,4,,
Turpinia occidentalis,9,,
Urera caracasana,24,,
Vallea stipularis,8,,
Varronia cylindristachya,10,,
Verbesina arborea,1,,
Verbesina brachypoda,0,,
Verbesina latisquama,0,,
Verbesina lloensis,0,,
Vernonanthura patens,30,,
Viburnum pichinchense,1,,
Viburnum triphyllum,4,,
Virola elongata,2,,
Virola reidii,0,,
Virola sebifera,20,,
Vismia lateriflora,0,,
Weinmannia auriculata,5,,
Weinmannia balbisiana,12,,
Weinmannia glomerata,0,,
Weinmannia lentiscifolia,3,,
Weinmannia pinnata,17,,
Wettinia oxycarpa,0,,
Wettinia quinaria,3,,
Xanthosoma sagittifolium,4,,
Zanthoxylum bonifazieae,0,,
Zanthoxylum quinduense,3,,
Zanthoxylum verrucosum,1,,
Zanthoxylum formiciferum,1,,
Brosimum utile,12,,
Ficus americana,26,,
Inga nobilis,24,,
Pourouma bicolor,4,,
Aegiphila lopez-palacii,0,,
Bactris gasipaes,30,,
Conostegia centronioides,0,,
Hedyosmum goudotianum,2,294,
